PRIMARY_STREET,CROSS_STREET,CITY_COUNTY,STATIONID,AGENCY,NOTES,TDOT_ID,STATUS,PREVIOUS_STATION,Longitude,Latitude,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Walbrook Dr,W of N Gallaher View Rd,Knox,47000537,TDOT,,93000537,ACTIVE,,-84.05928066,35.92564979,,,,,,,,,,,,,,,,,,11554,11670,5553,5782,4825,4944,4876
Bridgedale Dr,W of S Gallaher View Rd,Knox,47000538,TDOT,,93000538,ACTIVE,,-84.06113167,35.92431579,,,,,,,,,,,,,,,,,,,,,3800,4720,3688,3826
Tillery Rd,W of Wilson Rd,Knox,47000539,TDOT,,93000539,ACTIVE,,-83.97017444,35.99807594,,,,,,,,,,,,,,,,,,1835,2048,1553,1943,1530,1706,1521
Wallace Rd,W of S Northshore Dr,Knox,47000540,TDOT,,93000540,ACTIVE,093M266,-84.03382161,35.89642872,,,,,,,,,,,,,,,,,,1978,1998,1624,2046,2036,2277,2053
Mourfield Rd,N of Bluegrass Rd,Knox,47000541,TDOT,,93000541,ACTIVE,093M267,-84.08508773,35.87516168,,,,,,,,,,,,,,,,,,2434,2458,2163,3654,3245,3073,2686
Hart Rd,S of Bluegrass Rd,Knox,47000542,TDOT,,93000542,ACTIVE,093M320,-84.09748476,35.85950765,,,,,,,,,,,,,,,,,,1421,1435,1280,1344,1377,1723,1537
Loop Rd,E of Concord Rd,Knox,47000543,TDOT,,93000543,ACTIVE,,-84.14379187,35.87438368,,,,,,,,,,,,,,,,,,2920,2900,2987,3148,3135,3676,3541
S Northshore Dr,W of Harvey Rd,Knox,47000544,TDOT,,93000544,ACTIVE,,-84.17922066,35.82158987,,,,,,,,,,,,,,,,,,1538,1553,1732,3159,2805,2831,2299
Midhurst Dr,E of East Kingsgate Rd,Knox,47000545,TDOT,,93000545,ACTIVE,,-84.16871393,35.86299766,,,,,,,,,,,,,,,,,,304,300,316,250,222,365,308
East Kingsgate Rd,N of Midhurst Dr,Knox,47000546,TDOT,,93000546,ACTIVE,,-84.17056293,35.86332466,,,,,,,,,,,,,,,,,,1348,1361,1389,1336,1321,1727,1506
Peterson Rd,S of Kingston Pk,Knox,47000547,TDOT,,93000547,ACTIVE,093M074,-84.17786095,35.87153768,,,,,,,,,,,,,,,,,,,2588,2449,2371,2309,2756,2726
Union Rd,W of Everett Rd,Knox,47000548,TDOT,,93000548,ACTIVE,,-84.20867902,35.87108068,,,,,,,,,,,,,,,,,,,,826,960,720,860,989
Park West Blvd,E of Sherrill Blvd,Knox,47000549,TDOT,,93000549,ACTIVE,,-84.10208377,35.91773678,,,,,,,,,,,,,,,,,,8074,8556,8642,5342,7242,5860,8037
Executive Park Dr,E of N Cedar Bluff Rd,Knox,47000550,TDOT,,93000550,ACTIVE,,-84.09031874,35.91997678,,,,,,,,,,,,,,,,,,10566,10672,10548,10963,11170,10549,10891
